,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
朝阳市,6,0,5,1,0,,,,
鞍山,4,0,4,0,0,,,,
本溪,3,0,3,0,0,,,,
辽阳,3,0,3,0,0,,,,
抚顺,1,0,1,0,0,,,,
朝阳,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
陕西,711,0,699,3,0,0.0,,,
境外输入,448,0,440,0,0,,,,
本土病例,247,0,244,0,0,,,,
西安,135,0,132,3,0,,,,
汉中,26,0,26,0,0,,,,
安康,26,0,26,0,0,,,,
咸阳,18,0,17,0,0,,,,
渭南,17,0,17,0,0,,,,
宝鸡,13,0,13,0,0,,,,
铜川,8,0,8,0,0,,,,
延安,8,0,8,0,0,,,,
商洛,7,0,7,0,0,,,,
榆林,3,0,3,0,0,,,,
韩城,1,0,1,0,0,,,,
杨凌,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
杨凌示范区,0,0,0,0,0,,,,
韩城市,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
重庆,610,0,601,6,0,0.0,,,
万州区,118,0,114,4,0,,,,
江北区,28,0,28,0,0,,,,
境外输入,26,0,26,0,0,,,,
云阳县,25,0,25,0,0,,,,
长寿区,24,0,22,0,0,,,,
綦江区,23,0,23,0,0,,,,
合川区,23,0,23,0,0,,,,
奉节县,22,0,22,0,0,,,,
九龙坡区,22,0,21,1,0,,,,
忠县,21,0,21,0,0,,,,
开州区,21,0,20,1,0,,,,
渝中区,20,0,20,0,0,,,,
垫江县,20,0,20,0,0,,,,
两江新区,18,0,18,0,0,,,,
潼南区,18,0,18,0,0,,,,
渝北区,17,0,17,0,0,,,,
石柱县,15,0,15,0,0,,,,
南岸区,15,0,15,0,0,,,,
巫溪县,14,0,14,0,0,,,,
大足区,14,0,14,0,0,,,,
丰都县,10,0,10,0,0,,,,
铜梁区,10,0,10,0,0,,,,
巫山县,10,0,10,0,0,,,,
沙坪坝区,10,0,10,0,0,,,,
璧山区,9,0,9,0,0,,,,
荣昌区,9,0,9,0,0,,,,
巴南区,7,0,6,0,0,,,,
大渡口区,7,0,7,0,0,,,,
江津区,6,0,6,0,0,,,,
涪陵区,5,0,5,0,0,,,,
永川区,5,0,5,0,0,,,,
梁平区,4,0,4,0,0,,,,
高新区,4,0,4,0,0,,,,
黔江区,2,0,2,0,0,,,,
城口县,2,0,2,0,0,,,,
彭水县,2,0,2,0,0,,,,
武隆区,1,0,1,0,0,,,,
万盛经开区,1,0,1,0,0,,,,
酉阳县,1,0,1,0,0,,,,
秀山县,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
开州,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
开县,0,0,0,0,0,,,,
永川,0,0,0,0,0,,,,
合川,0,0,0,0,0,,,,
江津,0,0,0,0,0,,,,
长寿,0,0,0,0,0,,,,
南川,0,0,0,0,0,,,,
九龙坡,0,0,0,0,0,,,,
沙坪坝,0,0,0,0,0,,,,
江北,0,0,0,0,0,,,,
北碚,0,0,0,0,0,,,,
南岸,0,0,0,0,0,,,,
綦江,0,0,0,0,0,,,,
黔江,0,0,0,0,0,,,,
巴南,0,0,0,0,0,,,,
渝北,0,0,0,0,0,,,,
大足,0,0,0,0,0,,,,
渝中,0,0,0,0,0,,,,
涪陵,0,0,0,0,0,,,,
万州,0,0,0,0,0,,,,
吉林,585,0,576,3,0,0.0,,,
通化,313,0,312,1,0,,,,
长春,150,0,150,0,0,,,,
长春市,70,0,45,0,0,,,,
通化市,64,0,6,0,0,,,,
吉林,50,0,49,1,0,,,,
未明确地区,46,0,0,0,0,,,,
境外输入,29,0,23,0,0,,,,
四平,17,0,16,1,0,,,,
辽源,7,0,7,0,0,,,,
松原,6,0,6,0,0,,,,
公主岭,6,0,6,0,0,,,,
延边,5,0,5,0,0,,,,
白城,1,0,1,0,0,,,,
梅河口市,1,0,1,0,0,,,,
白山,0,0,0,0,0,,,,
梅河口,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
天津,535,0,514,3,0,0.0,,,
境外输入,388,0,370,0,0,,,,
天津本土,147,0,140,0,0,,,,
宝坻区,60,0,58,2,0,,,,
河东区,15,0,14,1,0,,,,
滨海新区,13,0,13,0,0,,,,
河北区,12,0,12,0,0,,,,
北辰区,7,0,7,0,0,,,,
外地来津,6,0,6,0,0,,,,
南开区,6,0,6,0,0,,,,
和平区,6,0,6,0,0,,,,
河西区,4,0,4,0,0,,,,
东丽区,4,0,4,0,0,,,,
西青区,4,0,4,0,0,,,,
宁河区,4,0,4,0,0,,,,
津南区,2,0,2,0,0,,,,
红桥区,2,0,2,0,0,,,,
武清区,2,0,2,0,0,,,,
河东,0,0,0,0,0,,,,
河西,0,0,0,0,0,,,,
南开,0,0,0,0,0,,,,
河北,0,0,0,0,0,,,,
和平,0,0,0,0,0,,,,
红桥,0,0,0,0,0,,,,
北辰,0,0,0,0,0,,,,
武清,0,0,0,0,0,,,,
宝坻,0,0,0,0,0,,,,
